# Each line contains : 
#   * Generation
#   * Genome size
#   * Terminator number
#
533 19134 1121
534 19134 1121
535 19298 1125
536 19298 1125
537 19298 1125
538 19298 1125
539 19298 1125
540 19298 1125
541 19298 1125
542 19298 1125
543 19298 1125
544 19298 1125
545 19298 1125
546 19298 1127
547 19298 1128
548 19298 1128
549 19298 1128
550 19298 1129
551 19298 1132
552 20139 1180
553 20139 1180
554 20139 1180
555 20139 1179
556 20139 1179
557 20139 1179
558 20139 1179
559 20139 1179
560 20139 1179
561 20139 1179
562 20139 1179
563 20139 1179
564 20139 1179
565 20139 1179
566 20139 1179
567 20139 1179
568 20139 1179
569 20139 1179
570 20139 1179
571 20276 1183
572 20276 1183
573 20276 1183
574 20276 1183
575 20276 1183
576 20276 1183
577 20276 1183
578 20276 1181
579 20276 1182
580 20276 1182
581 20276 1182
582 20276 1182
583 20276 1185
584 20276 1185
585 20276 1185
586 20276 1185
587 20276 1185
588 20276 1188
589 20276 1188
590 20279 1190
591 20279 1190
592 20279 1190
593 20279 1190
594 20279 1188
595 20279 1188
596 20279 1189
597 20279 1189
598 20279 1189
599 20279 1189
600 20279 1191
601 20279 1191
602 20279 1191
603 20279 1195
604 20279 1195
605 20279 1195
606 20680 1213
607 20680 1212
608 20680 1214
609 20852 1225
610 20852 1225
611 20852 1227
612 20852 1227
613 20852 1227
614 20852 1227
615 20852 1227
616 20852 1227
617 20852 1227
618 20852 1227
619 20853 1227
620 20853 1227
621 20853 1227
622 20853 1225
623 20853 1225
624 20853 1225
625 20853 1226
626 20853 1226
627 20853 1227
628 20853 1227
629 20853 1227
630 20853 1227
631 20853 1226
632 20853 1226
633 20853 1226
634 20853 1228
635 20853 1228
636 20853 1228
637 20853 1228
638 20853 1227
639 20853 1227
640 20853 1227
641 20853 1227
642 20853 1227
643 20853 1227
644 20853 1227
645 20853 1227
646 20853 1228
647 20853 1227
648 20853 1227
649 20853 1227
650 20853 1227
651 20853 1227
652 20853 1227
653 20853 1228
654 20851 1227
655 20851 1227
656 20850 1227
657 20850 1227
658 20850 1227
659 20850 1224
660 20850 1222
661 20850 1222
662 20850 1222
663 20850 1223
664 20850 1223
665 20850 1223
666 20850 1223
667 20850 1223
668 20850 1223
669 20850 1223
670 20849 1224
671 20849 1224
672 20849 1224
673 20849 1222
674 20849 1222
675 20849 1222
676 20849 1222
677 20849 1222
678 20849 1222
679 20849 1221
680 20849 1221
681 20849 1221
682 20849 1221
683 20849 1222
684 20849 1222
685 20849 1222
686 20849 1222
687 20849 1222
688 20849 1220
689 20849 1220
690 20849 1220
691 20849 1220
692 20849 1220
693 20849 1220
694 20846 1217
695 20846 1217
696 20846 1217
697 20846 1217
698 20846 1217
699 20846 1217
700 20846 1215
701 20846 1215
702 20846 1215
703 22073 1284
704 22073 1284
705 22073 1284
706 22073 1284
707 22073 1284
708 22073 1284
709 22073 1283
710 22073 1283
711 22073 1283
712 20186 1183
713 20186 1184
714 20186 1184
715 20186 1184
716 20186 1184
717 20186 1184
718 20186 1184
719 20186 1184
720 20186 1184
721 20186 1184
722 20186 1184
723 20186 1184
724 20186 1187
725 18729 1098
726 18729 1098
727 18729 1098
728 18730 1096
729 18730 1096
730 18730 1096
731 18730 1096
732 18730 1095
733 18730 1095
734 18730 1096
735 18730 1095
736 18730 1095
737 18730 1095
738 18730 1095
739 18730 1094
740 18729 1094
741 18729 1094
742 18729 1094
743 18729 1095
744 18729 1095
745 18728 1099
746 18728 1099
747 18728 1099
748 18728 1099
749 18728 1099
750 18728 1099
751 18728 1099
752 18728 1099
753 18728 1099
754 18728 1099
755 18728 1099
756 18728 1099
757 18728 1100
758 18728 1100
759 18728 1100
760 18728 1100
761 18728 1100
762 18728 1100
763 18728 1100
764 18728 1100
765 18728 1102
766 18728 1103
767 18728 1105
768 19202 1127
769 19202 1127
770 19202 1127
771 19202 1127
772 19202 1127
773 19202 1127
774 19202 1127
775 19202 1127
776 19202 1127
777 19202 1124
778 19202 1124
779 19202 1123
780 19202 1123
781 19202 1122
782 19202 1123
783 19202 1123
784 19202 1123
785 19202 1122
786 19202 1122
787 19202 1123
788 19202 1123
789 19202 1123
790 19202 1125
791 19202 1125
792 19202 1125
793 19202 1125
794 19202 1125
795 19202 1125
796 19202 1125
797 19202 1125
798 19202 1129
799 19202 1129
800 19202 1129
801 19202 1129
802 19202 1129
803 19202 1129
804 19202 1129
805 19202 1131
806 19202 1131
807 19202 1128
808 19202 1129
809 19202 1129
810 19202 1129
811 19202 1129
812 19202 1128
813 19202 1128
814 19202 1128
815 19202 1128
816 19202 1128
817 19202 1128
818 19202 1128
819 19202 1128
820 19202 1128
821 19202 1129
822 19276 1132
823 19270 1130
824 19270 1130
825 19270 1130
826 19270 1128
827 19269 1128
828 19269 1128
